"pictureID","pathWhereItsNotFound","newPath"
35589,images/412/35589.tif,images/402/35589.tif
35589,thumbnails/412/35589_t.jpeg,thumbnails/8/35589_t.jpeg
35589,previews/412/35589_s.jpeg,previews/402/35589_s.jpeg
35589,thumbnails/412/35589_t.jpeg,thumbnails/402/35589_t.jpeg
35589,previews/412/35589_s.jpeg,previews/8/35589_s.jpeg
35845,previews/712/35845_s.jpeg,previews/8/35845_s.jpeg
35845,thumbnails/712/35845_t.jpeg,thumbnails/658/35845_t.jpeg
35845,thumbnails/712/35845_t.jpeg,thumbnails/8/35845_t.jpeg
35845,previews/712/35845_s.jpeg,previews/658/35845_s.jpeg
35845,images/712/35845.tif,images/658/35845.tif
36101,previews/1012/36101_s.jpeg,previews/8/36101_s.jpeg
36101,previews/1012/36101_s.jpeg,previews/914/36101_s.jpeg
36101,thumbnails/1012/36101_t.jpeg,thumbnails/8/36101_t.jpeg
36101,images/1012/36101.tif,images/914/36101.tif
36101,thumbnails/1012/36101_t.jpeg,thumbnails/914/36101_t.jpeg
36357,thumbnails/1212/36357_t.jpeg,thumbnails/8/36357_t.jpeg
36357,previews/1212/36357_s.jpeg,previews/1170/36357_s.jpeg
36357,images/1212/36357.tif,images/1170/36357.tif
36357,previews/1212/36357_s.jpeg,previews/8/36357_s.jpeg
36357,thumbnails/1212/36357_t.jpeg,thumbnails/1170/36357_t.jpeg
36613,thumbnails/1512/36613_t.jpeg,thumbnails/8/36613_t.jpeg
36613,thumbnails/1512/36613_t.jpeg,thumbnails/1426/36613_t.jpeg
36613,previews/1512/36613_s.jpeg,previews/1426/36613_s.jpeg
36613,images/1512/36613.tif,images/1426/36613.tif
